avilottransfer,1
question,correct,answer_0,answer_1,answer_2
Doklady potřebné pro let SLZ musí mít pilot u sebe:,1,jen při přeletu,při každém letu,jen při mimoletištním letu
Dříve než v Praze vychází slunce:,0,v Moskvě,v Londýně,v Paříži
Hlavní příčinou atmosférické konvekce je:,2,nestejnoměrné zahřívání různě barevného zemského povrchu,rozdílná teplota vzduchu ve dne a v noci,dostatečný ohřev vzduchu o zemský povrch při instabilním zvrstvení
Hlavní příčinou odtržení proudu je vždy:,1,snížení rychlosti letu pod hodnotu minimální dopředné rychlosti vůči zemi v ustáleném přímočarém letu,překročení kritického úhlu náběhu,počátek přechodu laminárního proudění na povrchu PK v turbulentní
Horizontální rychlost se udává:,2,ve stopách,v uzlech,"v km/hod, v MPH, v uzlech (kts)"
Hranice mezi troposférou a stratosférou se nazývá:,1,atmosféra,tropopauza,ionosféra
Hustota vzduchu v zemské atmosféře s výškou:,0,klesá,se nemění,vzrůstá
Hustota vzduchu:,2,snižuje se s klesající teplotou,roste s rostoucí teplotou,roste s klesající teplotou vzduchu
Indukovaný odpor lze zmenšit:,1,tloušťkou profilu a koncovými tělěsy na koncích křídla,štíhlostí křídla a vhodným zakončením křídla,šípem křídla a tloušťkou profilu
Indukovaný odpor:,2,vzniká jako důsledek indukce  u zadní části profilu,vzniká jako důsledek vzájemného ovlivnění obtékání různých částí,vzniká jako důsledek přefukování vzduchu na koncích křídla ze spodní strany na horní
"Informace o poloze CTR, TMA, LKR, LKP je možno získat",2,v oficiální navigační mapě ÚCL,v mapě ADAC,v AIP ČR nebo platné letecké mapě
"Instabilním zvrstvením při nenasyceném vzduchu nazýváme zvrstvení, kdy:",2,"nenasycená částice se zastaví v hladině, ve které přestala vnější síla působit",nenasycená částice se po ukončení působení vnější síly vrací do své původní polohy,nenasycená vzduchová částice při svém výstupu z rovnovážné polohy dále stoupá i když přestane působit vnější síla
"Isobary jsou čáry na přízemních meteorologických mapách, které spojují místa:",1,se stejnou vlhkostí,se stejným tlakem přepočteným na hladinu moře,se stejnou teplotou přepočtenou na hladinu moře
Izolované bouřky místní povahy jsou většinou:,0,Bouřky z tepla,Frontálním zdvihem (teplá fronta),Frontálním zdvihem (studená fronta)
Jak se pohybují vzduchové hmoty na teplé frontě?,2,Studený vzduch se nasunuje nad hmoty teplého vzduchu,Teplý vzduch se nasunuje pod hmoty studeného vzduchu,Teplý vzduch se nasunuje nad hmoty studeného vzduchu
"Jak se změní rychlost proudění a statický tlak v něm, když v nějakém místě dojde ke zhuštění proudnic?",1,"rychlost se zvýší, statický tlak se zvýší","rychlost se zvýší, statický tlak klesne","rychlost klesne, statický tlak klesne"
Jaké jsou kromě sil způsobující výstup vzduchu další dvě podmínky nutné pro vytvoření bouřky?,1,Nestabilní podmínky a nízký tlak vzduchu,Nestabilní podmínky a vysoký obsah vlhkosti,Stabilní podmínky a vysoký tlak vzduchu
"Jaké vlastnosti bude mít přízemní vítr v oblasti, kde jsou na přízemní meteorologické mapě izobary blízko u sebe?",2,Slabý ve směru izobar,Silný kolmo na izobary,Silný zhruba podél izobar
Jaký je minimální věk pro zahájení teoretického a praktického výcviku uživatele PK,2,od 14 let pouze se souhlasem jeho zákonných zástupců,od 16 let pouze se souhlasem jeho zákonných zástupců,od 15 let pouze se souhlasem jeho zákonných zástupců
Jaký typ srážek lze očekávat na aktivní studené frontě?,0,Přeháňky a bouřky,Mrholení,Mírný trvalý déšť
Jev nazývaný turbulence je definován jako:,1,"síly, které zvyšují rychlost letícího letadla",síly působící na letadlo v různých směrech a udělující tomuto letadlu různá přídavná zrychlení,"síly, které působí na letadlo ve vertikálním směru"
K pádu letadla dochází když:,1,pilot vykrouží příliš ostrou zatáčku,se letadlo dostane za kritický úhel náběhu,"je letová hmotnost letadla větší, než je max. povolená"
Kde začíná na profilu odtrhávání proudu?,1,v mezní vrstvě na sací straně profilu u náběžné hrany,v mezní vrstvě na sací straně profilu od odtokové hrany,v úplavu na sací straně profilu u náběžné hrany
Kdo je oprávněn kontrolovat pilotní průkaz nebo doklad žáka,2,"inspektor provozu LAA ČR, příslušník Policie ČR, inspektor ÚCL, osoba pověřená provozovatelem letiště nebo majitelem pozemku","inspektor provozu LAA ČR, osoba pověřená MD ČR, příslušník Policie ČR, nebo pracovník městského úřadu obce, na jehož pozemcích je letiště, nebo plocha SLZ","inspektor provozu a techniky LAA ČR, osoba pověřená MD ČR nebo ÚCL, příslušník Policie ČR"
Kdo může provádět výcvik na PK,0,"instruktor PK, instruktor PK ve výcviku","pilot B, instruktor PK","pilot C, instruktor PK a instruktor PK ve výcviku"
Kdy je ve střední Evropě největší pravděpodobnost výskytu bouřek z tepla?,0,"Poledne, odpoledne",Pozdě ráno,Okolo půlnoci
Když za letu vypadne záložní padák a naplní se:,1,snažím se stahováním šňůr zrušit záložní padák a přitáhnout ho k sobě,"mám-li dostatečnou výšku, snažím se stáhnout vrchlík za zadní popruhy k sobě, aby byl co nejméně funkční","nedělám nic, už nic dělat stějně nelze"
Klouzavost vůči zemi se:,1,změní při změně hmotnosti,"změní, fouká-li vítr","fouká-li vítr nezmění, protože efektivní nosná plocha zůstává stejná"
Konvekční aktivita ve středních zeměpisných šířkách je největší:,2,v zimě v poledne,v poledne,v létě odpoledne
Která vlastnost je typická pro troposféru:,0,pokles teploty s výškou,nárůst tlaku s výškou,isotermie
Která z dále uvedených podmínek je nejdůležitější pro srovnávací navigaci?,2,zkušenost pilota a jeho odhad,dobrá mapa a orientační schopnosti pilota,"navigační příprava před letem, mapa, viditelnost země"
Které druhy oblaků jsou typické pro oblačný systém teplé fronty:,1,"Cu – cumulus, Ac – altocumulus, Cb – cumulonimbus","Ns – nimbostratus, As – altostratus, Cs – cirostratus","Sc – stratocumulus, Ac – altocumulus, Cc – cirocumulus"
Které složky tvoří výslednou aerodynamickou sílu?,0,vztlak a odpor,součinitel vztlaku a tíhy,vztlak a tíha
Které z následujících typů oblačnosti jsou známkou instabilní (nestabilní) vzduchové hmoty?,0,"Cu, Cb","Sc, Ns","St, Cs"
Který z jevů vznikající na studené frontě II. druhu je zvláště nebezpečný pro nízko letící letadla?,0,"silná turbulence omezená na úzký prostor víru – húlavy, s osou přibližně v úrovni základny Cb - cumulonimbus","snížení základny oblačnosti, někdy až k zemi",silný pokles tlaku a teploty
"Který z následujících druhů oblačnosti se může rozprostírat ve více vrstvách? (podle dělení oblačnosti vzhledem k výšce, kde se vyskytuje)",2,Altocumulus,Cirrus,Nimbostratus
Který z následujících zásahů pilota zvýší úhel náběhu PK?,1,vypuštění řízení,stažení řízení,sešlápnutí speed systému
Který z následujícíh procesů ve vrstvě vzduchu může vést k tvorbě oblačnosti typu kumulus a kumulonimbus?,1,Frontální zvedání stabilních vrstech vzduchu,Konvekce,Subsidence
Který z oblaků tvořící se na čele studené fronty je pro letový provoz nejnebezpečnější:,0,Cb – cumulonimbus,As – altostratus,Ns – nimbostratus
Kurz měříme od severu ve stupních:,2,"na východ po směru, na západ proti směru hodinových ručiček",proti směru otáčení hodinových ručiček,ve směru otáčení hodinových ručiček
Kurz zeměpisný měříme:,1,od nultého poledníku,od severu zeměpisného místního poledníku,od směrníku
Letadlo letí za velmi teplého dne přes Alpy. Počasí je dobré a v dané oblasti je tlaková výše. Letadlo prolétává kolem hory ve výšce jejího vrcholku. Co ukazuje výškoměr v porovnání s nadmořskou výškou vrcholku?,1,Stejnou výšku jako je nadmořksá výška vrcholku,Menší výšku než je nadmořská výška vrcholku,Větší výšku než je nadmořská výška vrcholku
Letadlo letící kursem 265 za větru 085 bude:,1,mít vítr zprava zezadu,mít vítr v zádech,mít vítr proti směru letu
Letadlo mající přednost musí udržovat svůj kurs a rychlost:,1,tyto podmínky nesmí měnit,"toto pravidlo však nezbavuje velitele letadla odpovědnosti provést takové opatření, které nejlépe zabrání srážce","nesmí měnit kurz, rychlost však ano"
"Letadlo nesmí letět v takové vzdálenosti od jiného letadla, která by:",0,vytvářela nebezpečí srážky,byla menší než 150m,mohla omezit jiné letadlo
"Letadlo za letu nebo pohybující se na zemi musí dát přednost letadlu, které:",1,dostalo povolení pro přiblížení na přistání,přistává nebo je v poslední fázi přiblížení na přistání,nemá spojení se službou řízeného letového provozu
"Letadlo, které je podle pravidel povinno dát přednost jinému letadlu se musí:",0,"vyhnout tím, že nadletí, podletí nebo křižuje jeho trať v dostatečné vzdálenosti","vyhnout tak, aby byla mezi letadly dodržena vodorovná vzdálenost 300 m","vyhnout tak, aby byla mezi letadly dodržena vertikální vzdálenost 150 m"
"Letecké navigaci vyhovují nejlépe mapy, které:",2,mají přesné úhly,jsou v měřítku 1 : 500 000,věrně zobrazují topografickou situaci a úhly
Letištní provoz je:,1,provoz vozidel a osob na provozní ploše letiště,veškerý provoz na provozní ploše letiště a všechna letadla letící v blízkosti letiště,všechna letadla za letu nebo pohybující se na provozní ploše
Letištní provozní zóna (ATZ) má tyto rozměry:,1,"kruh o průměru 3NM (5,5 km) do nadmořské výšky 4000ft (1200 m)","kruh o poloměru 3 NM (5,5 km), vertikálně od země do  nadmořské výšky 4000ft (1200 m)","kružnice 5,5 NM (10 km) do nadmořské výšky 4 000 ft (1200 m)"
Letištní provozní zóna - ATZ je:,1,vymezený vzdušný protstor se stálou informační službou,"vymezený vzdušný prostor, který slouží k ochraně letištního provozu",vymezený vzdušný prostor se službou řízení letového provozu
"Lety VFR ve třídách vzdušného prostoru C, D a E se smějí provádět ve vzdálenosti od oblaků:",0,nejméně 1500 m horizontálně a 300 m vertikálně,"do oblaku smí vletět pouze pilot, který první dosáhne základny",vně oblaků a za viditelnosti země
"Lety VFR ve vzdušném prostoru třídy G se musí provádět tak, aby letadlo letělo:",2,"při stejné nebo větší vzdálenosti od oblaku než - horizontálně 1,5 km, vertikálně 300 m","při stejné nebo větší vzdálenosti od oblaku než - horizontálně 5 km, vertikálně 300 m",vně oblaků za stálé dohlednosti země
Letí-li dvě SLZ na protínajících se tratích ve volném prostoru má přednost SLZ letící,2,které letí proti slunci,leva,zprava
"Letí-li dvě letadla na vstřícných tratích nebo přibližně takových, každé z nich se vyhne změnou kurzu:",0,vpravo,vlevo,"učiní taková opatření, která nejlépe zabrání srážce"
"Létat nad shromážděním osob v takové výšce, která by nedovolila v případě vzniklého nebezpečí přistát bez ohrožení pilota či osob na zemi je:",1,povoleno,zakázáno,možné pouze na veřejném leteckém vystoupení s vydaným platným oprávněním
Malá kružnice je:,2,"poledník, který prochází rovníkem na opačné straně",jakákoliv kružnice na povrchu země neprocházející průsečíkem nultého poledníku a rovníku,"kružnice, jejíž rovina neprochází středem zeměkoule"
"Maximální doba, na kterou může být prodloužen Technický průkaz PK je",0,2 roky,1 rok,6 měsíců
Mezi oblačnost kupovitou patří:,1,St - stratus,Cu - cumulus,As - altostratus
Mezi oblačnost s mohutným vertikálním vývojem řadíme:,1,Cc – cirocumulus,Cb – cumulonimbus,Ac – altocumulus
Mezi tzv. únikové manévry patří,2,"spirála, full-stall a b-stall","spirála, negativní zatáčka a b-stall","spirála, zaklopení stabilizátorů (uši) a b-stall"
Minimální letová dohlednost ve vzdušném prostoru třídy E je:,0,5 km,8 km,"1,5 km"
Minimální rychlost letu v ustálené zatáčce:,1,"je tím menší, čím je zatáčka ostřejší","je tím vyšší, čím je větší náklon",je dána letovou příručkou a platí pro všechny režimy letu
Musí být na palubě letadla při všech letech doklad o pojištění zákonné odpovědnosti?,2,ne při letištním letu,ne,ano
Na PK se smí létat,2,"za podmínek VFR ve dne, přičemž se za den považuje doba od západu do východu slunce.",od západu do východu slunce,"pouze ve dne, tj. v době mezi začátkem občanského svítání a koncem občanského soumraku nebo v jiném podobném časovém úseku, který může určit příslušný úřad"
Na které části vrchlíku PK působí největší vztlak při pohledu zepředu?,0,uprostřed vrchlíku,na koncích vrchlíku,rozložení vztlaku je rovnoměrné
Na severní polokouli výška troposféry v závislosti na zeměpisné šířce:,0,klesá od jihu k severu,stoupá od jihu k severu,zůstává stejná po celý rok
Na spodní straně křídla za letu působí:,0,přetlak,podtlak,žádný tlak
Na vstřícné trati letí letadla stejné kategorie. Opatření k vyhnutí provede:,0,obě letadla změnou kurzu vpravo,"vy změnou kurzu vpravo, druhé letadlo vlevo",změnou kurzu vlevo
Nebezpečné jevy spojené s bouřkou:,0,"silné výstupné proudy s maximem v horní polovině Cb – cumulonimbu, silná turbulence, sestupné proudy s maximem blízko základny, silná námraza, elektrické vlastnosti Cb - cumulonimbu","hustota oblaku, který je složen z kapalné i pevné fáze vody",výstupné proudy a růst Cb - cumulonimbus oblaku
"Nebezpečný prostor (LK D) je vymezený vzdušný prostor, ve kterém je ve vyhlášené době letecká činnost:",1,omezená,nebezpečná,zakázaná
"Nefunkčnost krevního oběhu („zástavu srdce“) v praxi rozpoznáme tak, že:",2,necítíme údery srdečního hrotu v oblasti hrudníku,nemůžeme nahmatat tep na krční tepně,"postižený nereaguje na podněty, dýchá lapavě nebo vůbec a nehýbe se"
"Nejpodstatnější výkony první pomoci, které můžeme provést v případě vážného úrazu, jsou:",2,šetrný transport k místu odborné pomoci,fixace zlomenin a ošetření ran a oděrek,"zastavení silného krvácení, uvolnění dýchacích cest a boj proti ztrátám tepla"
Nejspodnější vrstvu atmosféry nazýváme:,2,mezosféra,stratosféra,troposféra
Nejúčinnější protišoková opatření (po zabezpečení základních životních funkcí) jsou v laické první pomoci:,2,"imobilizace zlomenin, ošetření ran, a oděrek","zahřátí, podání co největšího množství slazených tekutin, poloha na boku","pohodlná poloha, zajištění tepelného komfortu, uklidnění"
Nejčastější směr větru v údolí způsobený termickými efekty je směrem:,1,Během dne z kopce,Během dne ke kopci,Během noci z kopce
Nevyšel vám rozpočet na přistání a musíte jej zkrátit. Jste ve výšce 30 m nad zemí,1,ve výšce do 30 m nad zemí je řešením udělat zatáčku o 360°,"létáním osmiček (esíček) tj.mírným kličkováním utrácíte výšku, abyste doklouzali přesně na přistání",sklopením konců křídel za pomoci potřebného počtu šňůr zmenšíte nosnou plochu a tak dokloužete pod příznivým úhlem až na zem
Nultý poledník je:,2,"poledník neprocházející hvězdárnou v Greenwich, ovšem pouze na malé kružnici","poledník, na kterém se zeměpisná šířka i délka rovnají 0","poledník, zvaný též základní, procházející hvězdárnou v Greenwich v Anglii"
Nízkou oblačnost může tvořit:,1,Ci – cirrus,St – stratus,Ac – altocumulus
"O stabilní vzduchové hmotě mluvíme tehdy, platí-li:",1,jsou v ní příznivé podmínky pro vznik výstupných pohybů,jsou v ní nepříznivé podmínky pro vznik výstupných proudů,dochází v ní ke vzniku konvekce
Oblačnost se v troposféře tvoří z:,1,dusíku,vodní páry,kyslíku
Odpovědnost pilota (velitele) letadla:,2,velitel letadla nemá právo s konečnou platností rozhodnout o provedení letu,"velitel letadla neodpovídá za provedení letu v případě, když obdržel povolení ke vzletu od služeb řízení letového provozu","velitel letadla odpovídá za provedení letu podle pravidel létání, ať letadlo sám řídí či nikoliv, vyjma případů, když si okolnosti vynutí odchylku od těchto pravidel v zájmu bezpečnosti"
Odtržením proudnic rozumíme:,1,skokový přechod od turbulentního proudění nad horní plochou křídla k absolutní laminaritě,proud vzduchu přestane sledovat tvar profilu,"proudnice opustí profil, po tom co opíšou jeho tvar"
"Omezený prostor (LK R) je prostor, který pilot:",2,musí proletět,nesmí proletět,může proletět za splnění stanovených podmínek
"Osa zemská je myšlená přímka středem země kolmá na rovník. Místa, kde protíná povrch země se nazývají póly (točny). Jsou to póly:",1,magnetické,zeměpisné,totožné
Ověřovat zda je technický průkaz SLZ platný je povinností:,2,vedoucího letového provozu,provozovatele,velitele SLZ (pilota)
Ošetření ran a fixace zlomenin se u postiženého s úrazem v rámci první pomoci provádí:,1,vždy prioritně u jakékoliv rány a u jakékoliv zlomeniny,"jen tehdy, pokud není postižený ohrožený poruchou základních životních funkcí","vždy, pokud jde o zející (hluboké) rány a/nebo otevřenou zlomenu"
"Paraglidista v negativce dopadl opodál. Při našem příchodu leží na zádech v bezvědomí, nedýchá, je promodralý. Žádné zřetelně patrné zranění není zřejmé. Zavoláme záchrannou službu a dále jako první:",1,uložíme postiženého do protišokové polohy s podloženou hlavou,záklonem hlavy uvolníme dýchací cesty,uložíme postiženého do stabilizované polohy
"Pilot během svahování po zaklapnutí asi 10 m nad zemí dopadl tvrdě na levý bok, zjevně otřesen, nicméně vstává, vzápětí kolabuje, je bledý, udává bolest naraženého boku, třese se, chce se mu spát, je trochu zmatený, ale nabízené přivolání záchranky striktně odmítá. Postup bude:",1,"Uložíme jej do stínu, do polosedu, během létání jej občas kontrolujeme. Pokud by se stav horšil, přivoláme pomoc.","Snažíme se jej uklidnit, ponecháme jej v poloze, jaká mu nejlépe vyhovuje, přikryjeme jej, přivoláme záchrannou službu.","Uložíme jej do protišokové polohy s nohama nahoru, přikryjeme a přivoláme záchrannou službu."
"Pilot letadla nevybaveného radiostanicí, který má v úmyslu přiletět na neřízené letiště nebo z něho odletět, je  povinen",0,předem zkoordinovat svůj přílet nebo odlet se stanovištěm AFIS nebo provozovatelem letiště,dodržet pro odlet nebo přílet pravidla vyhýbání,předem zkoordinovat svůj přílet nebo odlet s majitelem letiště
Pilot musí mít za letu u sebe vždy,2,"pilotní průkaz nebo doklad žáka, osvědčení letové způsobilosti, doklad o pojištění za škody způsobené provozem SLZ, lékařský posudek o zdravotní způsobilosti","průkaz totožnosti, pilotní průkaz nebo doklad žáka, osvědčení letové způsobilosti, doklad o pojištění za škody způsobené provozem SLZ, lékařský posudek o zdravotní způsobilosti","průkaz totožnosti, pilotní průkaz nebo doklad žáka, technický průkaz SLZ, doklad o pojištění za škody způsobené provozem SLZ"
Platný pilotní průkaz musí mít pilot u sebe:,1,při přeletu,při každém letu,při mimoletištním letu
Po jaké době od získání licence Pilot může být pilotovi vystavena licence Sportovní Pilot?,2,po 5 měsících,po 9 měsících,po 6ti měsících
Po průletu převodní výškou se pro udávání výšky přejde z nastavení hodnoty QNH:,2,na nastavení údaje QFE a vertikální polohy letadla se vyjadřují jako výšky nad zemí,na nastavení údaje QFE cílového letiště a vertikální polohy letadla se vyjadřují jako výšky nad cílovým letištěm,"na nastavení výškoměru na hodnotu 1013,2 hPa a vertikální polohy letadla se vyjadřují v letových hladinách"
"Pokud je k dispozici, má pilot mobilní telefon při letu:",2,"za letu se netelefonuje, takže je jedno, kam ho dáte",v úložné zadní kapse sedačky,na snadno dostupném místě z pozice za letu
"Pokud je zřejmé, že bude nutný zásah záchranářského vrtulníku, voláme v ČR přednostně číslo:",0,155,1210,112
Pokud jedna vrstva tlakového obvazu nestačí k zastavení krvácení z rány na noze:,2,"urgujeme příjezd záchranné služby, přičemž opakovaně zdůrazníme naléhavost stavu","původní obvaz odstraníme a přiložíme nový, který lépe utáhneme","přiložíme další 1-2 vrstvy, případně použijeme zaškrcení"
Pokud pacient po úrazu v bezvědomí nedýchá:,1,urychleně jej transportujme k odborné pomoci,pokusíme se především uvolnit dýchací cesty,okamžitě zahájíme resuscitaci
"Pokud pilot PK nebo MPK před sebou zjistí bouřkový oblak s húlavou, pro další bezpečný let provede:",1,oblast bouřkového oblaku podletí,neprodleně přistane na nejbližší vhodné ploše,změní trať letu a pokusí se vyhnout bouřce v bezpečné vzdálenosti
"Pokud použijeme škrtidlo, ale rána stále krvácí:",2,přiložíme přes škrtidlo tlakový obvaz,škrtidlo povolíme a zvedneme postiženou končetinu nahoru,musíme škrtidlo víc utáhnout
"Pokud tomu nebrání zvláštní okolnosti, je pro postiženého úrazem nejlepší:",0,"taková poloha, kterou chce postižený sám zaujmout",„protišoková“ poloha s nohama a rukama zvednutýma co nejvýše,poloha na boku („stabilizovaná“ resp. „zotavovací
Poloha zeměpisného a magnetického pólu:,1,totožná,není shodná,magnetický pól je vždy na východ od zeměpisného
"Postižený během výstupu na kopec náhle zkolaboval, leží, nehýbe se, asi 1x za dvacet sekund se zhluboka nadechne. Jiný svědek příhody se mezi tím pokouší vyhmatat postiženému tep na krku a hlásí, že cítí slabý, „nitkovitý“, rychlý tep. Je potřeba přivolat pomoc a ihned:",1,"Zahájit dýchání z plic do plic, protože tato frekvence je příliš nízká. Nepřímou masáž neprovádíme, protože pokud dýchá a je cítit tep, nemůže jít o zástavu oběhu a masáž by naopak mohla vést k poranění plic.","Zahájit resuscitaci. Tzv. ""lapavé dechy"" jsou typické pro náhlou zástavu oběhu. Hmatání tepu laikem je nespolehlivé a nepoužívá se pro velký výskyt chyb - zachránce cítí svůj vlastní tep.","Otočit postiženého do „stabilizované“ polohy, protože hrozí riziko vdechnutí zvratků."
Pravomoc pilota (velitele) letadla:,0,Pilot (velitel) letadla má právo rozhodnout s konečnou platností o provedení letu,Pilot (velitel) letadla nemá právo s konečnou platností rozhodnout o provedení letu,Provozovatel letadla má právo rozhodnout s konečnou platností o provedení letu
Pro kvalitu resuscitace má rozhodující význam:,2,co největší hloubka kompresí,co nejvyšší frekvence kompresí,včasné zahájení a nepřerušování kompresí
Pro nácvik létání nouzových režimů nad vodní plochou se vybavíte,0,"plovací vestou, nožem na odříznutí padákových popruhů",plovací vestou a světlicí,"plovací vestou, oranžovou helmou a lehkou obuví"
Pro vznik vertikálních pohybů v troposféře je příznivé zvrstvení:,1,indiferentní,instabilní,stabilní
Prostor typu LKP sahá,2,od země do FL 125,od 150m AGL do 1500m AMSL,od země do různých výšek (viz AIP nebo platná letecká mapa)
Prostor třídy E sahá do výšky,0,FL 95 (2900 m),FL 125 (3800 m),FL 85  (2600 m)
Prostor třídy G sahá v ČR do výšky,1,300 m STD,300 m AGL,300 m AMSL
Prvotní vyšetření zahrnuje,1,"zjištění okolností úrazu, potíží nemocného a případných nemocí, kterými dlouhodobě trpí",kontrolu stavu životních funkcí podle schématu A-B-C,rychlou kontrolu postiženého „od hlavy k patě“ s důrazem na známky úrazu
Pádová rychlost PK je 24 km/h. Jaká bude pádová rychlost PK při stejné konfiguraci v 60° zatáčce?,2,stejná,nižší,vyšší
Pádová rychlost letadla v zatáčce:,1,je nižší než v přímém ustáleném letu,je vyšší než v přímém ustáleném letu a závisí na náklonu letadla,"je konstantní, nesmí být vyšší než 65 km/h"
"Přechod studené fronty s aktivními bouřkovými projevy se v poli teploty, tlaku, přízemního větru projevuje:",0,"poklesem teploty, silným poklesem tlaku a jeho následným vzestupem, silným zesílením větru a jeho nárazovitostí","teplota klesá a později stoupá, tlak se nemění, vítr slábne","teplota se nemění, tlak slabě klesá, vítr mírně zesílí bez nárazů"
Před přistáním do stojaté vody je zapotřebí především,1,otočit kluzák proti větru,"rozepnout karabiny postroje tak, aby bylo možno po styku s vodou jej co nejrychleji opustit",vyskočit s postroje ve výšce cca 3 - 5 m nad hladinou
"Předlétávající letadlo je to, které se přibližuje k předlétávanému letadlu zezadu na čáře svírající s rovinou souměrnosti předlétávaného letadla úhel menší než:",2,80 stupňů,60 stupňů,70 stupňů
"Předpis LAA, který upravuje pravidla létání PK v ČR se nazývá",2,PL - 2,ZL - 3,ZL - 1
Předstartovní kontrola je,2,tříbodová,sedmibodová,pětibodová
Při asymetrickém zaklopení 1/2 náběžné hrany PK je potřeba,1,vykloněním v sedačce na zaklopenou stranu a přibržděním nezaklopené strany udržet kluzák v přímém letu,vykloněním v sedačce na nezaklopenou stranu a přibržděním této strany udržet kluzák v přímém letu,vyčkat a nezasahovat do řízení
Při asymetrickém zaklopení má PK tendenci,0,rychle zatáčet na zaklopenou stranu a následně rotovat nebo postupně obnovit přímý let,"setrvat v přímém letu, za vše ostatní vždy může pilot","přejít do strmého pádu, proto je nutné v čas tomu zcela předejít"
Při improvizovaném transportu postiženého v bezvědomí:,0,musíme zvláště dbát na šetrnost a stabilizaci hlavy při transportu,"nezáleží na šetrnosti, protože postižený v bezvědomí necítí bolest",musí být transport co nejrychlejší
Při jednostranném přetažení vrchlíku pilot:,1,staženou řidičku už podrží a náklonem se snaží vyrovnat rotaci,plynule vypustí řízení,"stáhne i druhou řidičku, potom obě vypustí"
Při kritickém úhlu náběhu:,2,dochází k náhlému poklesu součinitele odporu,dochází k prudkému nárůstu součinitele vztlaku,"dosahuje součinitel vztlaku maximální hodnoty, při dalším zvyšování úhlu náběhu prudce klesá"
Při nalétnutí do termického stoupavého proudu,0,PK pilota informuje svými pohyby o velikosti stoupání a většinou i o tom na jakou stranu je lepší ve stoupání točit,"má PK zcela vždy tendenci se zaklopit, proto vždy zabrzdíme","má PK nejčastěji tendenci k nějakému kolapsu, proto je nutné nejprve přibrzdit a teprve poté PK uvést do zatáčky"
Při nasátí oblačností s velkým vertikálním vývojem je nejlepší:,1,"řídit vrchlík v přímém směru a letět, kde je nejsvětlejší část oblaku",nasadit co nejúčinnější únikový manévr a snažit se být nasměrován proti větru,"točit dál, protočit oblak co nejvýše a tak se dostat až nad něj"
